username,comment_text,tagged_users_count,post_shortcode,comment_len
1800__g,"🏃‍♂️🔥💨
심장이 먼저 뛰고,
땀으로 한계를 넘고,
발걸음으로 내일을 당기는 중 💪✨
러닝은 지금도 계속된다!",0,DSuGGGvDFB7,62
dangeun._.baby,🕺👊🏻🫡👋🏻🦶🦵🏃🏻‍♂️🏃🏼‍♀️‍➡️🏃‍➡️🏃‍♂️‍➡️ @yoonlovelee2013,0,DSuGGGvDFB7,49
suj__1n,으자자🏃‍♂️🏃‍♀️‍➡️🏃‍➡️🏃‍♂️‍➡️💪💪💪 러닝이 최고 @xr_r_xl,1,manual_import,44
21.06.17.ing,🏃🏻🏃🏻‍♂️🏃🏻‍♀️🎽 러닝할땐 선스틱은 필수에용😍😍,0,manual_import,30
j2._.yyye,캄프 에어리 베일 카밍 선스틱과 함께라면 따가운 햇볕 아래에서도 걱정 없이 달릴 수 있을 것 같아요! 🏃‍♀️🔥☀️ 💪💨✨👟​#캄프 #Calmf #캄프선스틱 #에어리베일카밍선스틱 @j1._.deok,1,manual_import,110
gingi.2,💪🏃‍♀️🏃🏃‍♂️✌️🫰👌🫶👏 @hwang_8998 @eunk8998 @hoya4392 @eunk.8998 @uupapa82 @uumom82,6,manual_import,78
0min.aftertaste,올해는 하프 마라톤 가즈아!!🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♀️🏃‍♀️🏃‍♀️,0,manual_import,44
takochips1136,🏃🏃‍♀️🏃‍♂️달려달려! @jongok0242,1,manual_import,26
myname_hailey_,짧게라도 매일 뛰는 게 목표라서 러닝 열정은 계속 유지 중이에요 🏃☀️👟💨 🔥@__9oclock,1,manual_import,53
cdol7734,💪🦵🏃🏃‍♀️🏃‍♂️ @yjkongji1 @myming_0725,2,manual_import,35
yangseonung,꾸준하게 런닝하자 @kyounga0575,1,manual_import,22
ji.ltt,🏃‍♂️ 🏃‍♀️ 🔥 @06j08,1,manual_import,18
heoseonmi9232,💪👊🏃🏃‍♀️ @hankooktent,1,manual_import,20
boru_s2,🏃🏃🏻‍♀️🏃‍♂️ @eeedhq,1,manual_import,18
igaz_ay,"🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♀️🏃‍♀️🏃‍♀️🏃‍♀️👟👟👟💨 러닝레쯔고 @miimii_o.o @47455877.9 @njinklk

🏃‍♀️🏃‍♀️🏃‍♀️💨💨 달려잇 @miimii_o.o @47455877.9 @njinklk",6,manual_import,124
qwoow1_,🏃🏻‍♂️🏃🏻‍♀️🔥러닝 끝나고 오는 개운함 때문에 계속 뛰게 돼요 💨💪 @jask6526_,1,manual_import,51
sister_tone,달려엇!!🔥🔥🔥🏃🏃‍♀️🏃‍♂️💨💨,0,manual_import,19
ha_ppy_0908,🏃🏃‍♀️🏃‍♂️🎽💪 @hong__0427,1,manual_import,23
_blissgo,조아달료,0,manual_import,4
oslo.wj,@kwkkwk1203 🏃‍♂️ 🏃‍♀️🔥🫶🏻💧🙏🏻 집사야 올해도 러닝해야지 마라톤도 나가구!! 근데 피부는 지켜!!,1,manual_import,64
ohhea_gold,💨💪🏃🏻‍♂️🏃🏻‍♀️🏃🏻‍♂️🏃🏻‍♀️🔥☀️ @keepgoing_1993,1,manual_import,41
hyejin27_0,🏃‍♂️🏃‍♀️🏃 허리골절전에 러닝하며 건강했는데 이제 천천히 시작해야겠어요^^ 모두 러닝하고 건강해지세요^^ @conco4243,1,manual_import,72
